1680
torch.Size([1, 500, 512]) torch.Size([1, 6, 2])
         450092 function calls (437207 primitive calls) in 4.099 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1737(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:174(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1748(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:176(AbstractMethodError)
        1    0.000    0.000    0.000    0.000 __init__.py:183(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:187(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:189(<dictcomp>)
        8    0.000    0.000    0.000    0.000 __init__.py:189(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:19(ExportTypes)
        1    0.000    0.000    0.000    0.000 __init__.py:19(Future)
        1    0.000    0.000    0.000    0.000 __init__.py:191(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:195(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:195(cudaStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:199(CudaError)
        1    0.000    0.000    0.000    0.000 __init__.py:199(NumbaUtilError)
        1    0.000    0.000    0.000    0.000 __init__.py:199(c_longdouble)
       18    0.008    0.000    2.125    0.118 __init__.py:2(<module>)
        6    0.000    0.000    0.001    0.000 __init__.py:2006(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:205(DuplicateLabelError)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:210(device)
        1    0.000    0.000    0.000    0.000 __init__.py:213(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:2135(NullHandler)
        8    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:22(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:22(PerformanceWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:220(c_ubyte)
        1    0.000    0.000    0.001    0.001 __init__.py:222(<listcomp>)
        8    0.000    0.000    0.000    0.000 __init__.py:223(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:226(InvalidIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:227(c_byte)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:232(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:236(device_of)
        1    0.000    0.000    0.000    0.000 __init__.py:237(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:24(_QEngineProp)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:244(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:246(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:248(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:25(MkldnnModule)
        1    0.000    0.000    0.000    0.000 __init__.py:253(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:258(c_wchar)
        1    0.000    0.000    0.030    0.030 __init__.py:26(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:26(ContextProp)
        1    0.000    0.000    0.000    0.000 __init__.py:26(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:261(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:264(_dispatch_dtypes)
        5    0.000    0.000    0.000    0.000 __init__.py:265(__add__)
        5    0.000    0.000    0.000    0.000 __init__.py:27(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:272(LogRecord)
        2    0.000    0.000    0.059    0.030 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 __init__.py:28(RTLD_for_MKL)
        1    0.000    0.000    0.000    0.000 __init__.py:28(UnsupportedFunctionCall)
        4    0.000    0.000    0.016    0.004 __init__.py:282(register_custom_op_symbolic)
        1    0.000    0.000    0.000    0.000 __init__.py:29(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:29(cuFFTPlanCache)
        3    0.000    0.000    0.058    0.019 __init__.py:299(loads)
        3    0.000    0.000    1.087    0.362 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:31(_SupportedQEnginesProp)
        1    0.000    0.000    0.000    0.000 __init__.py:313(_CountryTimezoneDict)
       47    0.007    0.000    0.017    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:318(CDLL)
        1    0.000    0.000    0.014    0.014 __init__.py:32(__enter__)
        1    0.000    0.000    0.000    0.000 __init__.py:330(_sanity_check)
        4    0.000    0.000    0.024    0.006 __init__.py:339(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:36(UnsortedIndexError)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:37(VideoReader)
        1    0.000    0.000    0.000    0.000 __init__.py:372(_CountryNameDict)
        4    0.000    0.000    0.000    0.000 __init__.py:375(_FuncPtr)
        8    0.000    0.000    0.000    0.000 __init__.py:38(__getattr__)
      225    0.001    0.000    0.001    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:39(QuantizedEngine)
       14    0.000    0.000    0.012    0.001 __init__.py:393(flex_arith_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:398(_FixedOffset)
        1    0.000    0.000    0.002    0.002 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:40(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:401(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:404(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:41(PropModule)
        1    0.000    0.000    0.005    0.005 __init__.py:413(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:416(DoubleStorage)
        2    0.000    0.000    0.000    0.000 __init__.py:42(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:420(FloatStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:420(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:424(HalfStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:428(LongStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:43(ParserError)
        1    0.000    0.000    0.000    0.000 __init__.py:43(__exit__)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:432(IntStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:436(ShortStorage)
        6    0.000    0.000    0.004    0.001 __init__.py:437(flex_comp_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:440(CharStorage)
        1    0.000    0.000    0.010    0.010 __init__.py:441(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:444(ByteStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:444(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:445(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:448(BoolStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:452(BFloat16Storage)
        1    0.000    0.000    0.000    0.000 __init__.py:455(ComplexDoubleStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:458(ComplexFloatStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:46(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:461(QUInt8Storage)
        1    0.000    0.000    0.000    0.000 __init__.py:464(QInt8Storage)
        1    0.000    0.000    0.000    0.000 __init__.py:465(_CudaBase)
        1    0.000    0.000    0.000    0.000 __init__.py:467(QInt32Storage)
        1    0.000    0.000    0.000    0.000 __init__.py:471(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:476(DoubleStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:480(FloatStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:484(LongStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:488(IntStorage)
        1    0.000    0.000    0.001    0.001 __init__.py:489(manager_path)
        1    0.000    0.000    0.000    0.000 __init__.py:492(ShortStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:496(CharStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:5(HTTPStatus)
        3    0.000    0.000    0.000    0.000 __init__.py:5(is_available)
        1    0.000    0.000    0.000    0.000 __init__.py:50(cuFFTPlanCacheManager)
        1    0.000    0.000    0.000    0.000 __init__.py:500(ByteStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:504(HalfStorage)
        3    0.000    0.000    0.000    0.000 __init__.py:506(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:507(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:508(BoolStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:510(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:512(BFloat16Storage)
        1    0.000    0.000    0.000    0.000 __init__.py:515(ComplexDoubleStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:519(ComplexFloatStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:555(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:57(DtypeWarning)
        2    0.000    0.000    0.000    0.000 __init__.py:6(is_available)
